"stat_property","month_edit","no_statement","no_claim","stat_claim_ratio"
"P162","2013-03",164,225,1.3719512195122
"P286","2015-12",35,48,1.37142857142857
"P92","2014-10",35,48,1.37142857142857
"P127","2014-06",159,218,1.37106918238994
"P287","2016-02",62,85,1.37096774193548
"P1114","2014-09",27,37,1.37037037037037
"P1871","2015-06",27,37,1.37037037037037
"P189","2013-06",54,74,1.37037037037037
"P971","2016-09",5165,7077,1.3701839303001
"P366","2014-12",100,137,1.37
"P1038","2014-05",73,100,1.36986301369863
"P512","2016-07",265,363,1.36981132075472
"P112","2013-11",138,189,1.3695652173913
"P7","2013-06",333,456,1.36936936936937
"P54","2014-05",14608,20000,1.36911281489595
"P2894","2016-06",84,115,1.36904761904762
"P1174","2016-02",19,26,1.36842105263158
"P1321","2014-11",76,104,1.36842105263158
"P236","2013-06",19,26,1.36842105263158
"P243","2015-02",57,78,1.36842105263158
"P2882","2016-05",19,26,1.36842105263158
"P414","2016-06",19,26,1.36842105263158
"P488","2013-08",19,26,1.36842105263158
"P1087","2016-09",1990,2722,1.3678391959799
"P1365","2016-03",68,93,1.36764705882353
"P859","2015-08",68,93,1.36764705882353
"P176","2014-05",221,302,1.36651583710407
"P410","2016-06",161,220,1.36645962732919
"P608","2016-04",142,194,1.36619718309859
"P937","2015-05",626,855,1.36581469648562
"P40","2014-10",3540,4834,1.36553672316384
"P54","2015-08",6694,9136,1.36480430236032
"P348","2014-07",85,116,1.36470588235294
"P410","2014-09",96,131,1.36458333333333
"P186","2013-09",107,146,1.36448598130841
"P551","2016-03",734,1001,1.36376021798365
"P1142","2015-08",22,30,1.36363636363636
"P134","2014-02",11,15,1.36363636363636
"P1416","2014-07",11,15,1.36363636363636
"P162","2014-11",77,105,1.36363636363636
"P1732","2015-04",11,15,1.36363636363636
"P2439","2016-01",11,15,1.36363636363636
"P2559","2016-06",11,15,1.36363636363636
"P291","2013-10",22,30,1.36363636363636
"P3178","2016-09",66,90,1.36363636363636
"P358","2015-03",11,15,1.36363636363636
"P414","2014-11",22,30,1.36363636363636
"P444","2014-02",11,15,1.36363636363636
"P448","2015-06",11,15,1.36363636363636
"P462","2014-07",11,15,1.36363636363636
"P493","2016-06",22,30,1.36363636363636
"P529","2015-09",22,30,1.36363636363636
"P742","2013-09",11,15,1.36363636363636
"P767","2014-07",11,15,1.36363636363636
"P859","2015-09",11,15,1.36363636363636
"P885","2014-08",11,15,1.36363636363636
"P973","2016-10",22,30,1.36363636363636
"P40","2015-10",4256,5802,1.36325187969925
"P212","2015-08",58,79,1.36206896551724
"P86","2014-02",58,79,1.36206896551724
"P2541","2016-09",119,162,1.36134453781513
"P793","2014-03",144,196,1.36111111111111
"P780","2016-07",97,132,1.36082474226804
"P69","2013-07",208,283,1.36057692307692
"P108","2015-07",1330,1809,1.36015037593985
"P2237","2015-11",25,34,1.36
"P747","2016-02",75,102,1.36
"P101","2015-11",401,545,1.35910224438903
"P137","2014-10",131,178,1.3587786259542
"P58","2013-03",173,235,1.35838150289017
"P436","2013-04",888,1206,1.35810810810811
"P1476","2015-01",260,353,1.35769230769231
"P1003","2016-07",14,19,1.35714285714286
"P1056","2014-01",14,19,1.35714285714286
"P118","2013-10",14,19,1.35714285714286
"P1448","2016-10",42,57,1.35714285714286
"P1962","2015-11",14,19,1.35714285714286
"P2124","2015-10",14,19,1.35714285714286
"P2559","2016-07",14,19,1.35714285714286
"P2814","2016-05",14,19,1.35714285714286
"P358","2016-04",14,19,1.35714285714286
"P406","2013-10",14,19,1.35714285714286
"P414","2016-04",14,19,1.35714285714286
"P437","2015-02",28,38,1.35714285714286
"P487","2015-01",14,19,1.35714285714286
"P529","2014-08",14,19,1.35714285714286
"P742","2015-11",210,285,1.35714285714286
"P776","2013-08",14,19,1.35714285714286
"P802","2014-05",14,19,1.35714285714286
"P272","2013-04",160,217,1.35625
"P127","2014-08",295,400,1.35593220338983
"P1855","2015-09",118,160,1.35593220338983
"P84","2013-11",59,80,1.35593220338983
"P494","2015-10",1875,2542,1.35573333333333
"P921","2016-03",2092,2836,1.35564053537285
"P1705","2015-08",45,61,1.35555555555556
"P176","2016-05",349,473,1.35530085959885
"P1050","2013-12",31,42,1.35483870967742
"P1142","2016-04",31,42,1.35483870967742
"P487","2015-02",31,42,1.35483870967742
"P1003","2015-11",79,107,1.35443037974684
"P170","2013-09",285,386,1.35438596491228
"P112","2013-06",96,130,1.35416666666667
"P512","2014-07",48,65,1.35416666666667
"P937","2015-11",99,134,1.35353535353535
"P1066","2014-06",34,46,1.35294117647059
"P1830","2016-06",17,23,1.35294117647059
"P195","2013-11",17,23,1.35294117647059
"P2283","2016-09",17,23,1.35294117647059
"P2534","2016-07",34,46,1.35294117647059
"P348","2015-05",153,207,1.35294117647059
"P38","2015-11",17,23,1.35294117647059
"P437","2015-09",17,23,1.35294117647059
"P487","2013-05",68,92,1.35294117647059
"P607","2014-01",17,23,1.35294117647059
"P803","2015-08",17,23,1.35294117647059
"P793","2016-01",275,372,1.35272727272727
"P969","2014-02",139,188,1.35251798561151
"P1614","2015-08",193,261,1.35233160621762
"P131","2016-10",247,334,1.35222672064777
"P1303","2015-08",71,96,1.35211267605634
"P2416","2016-06",71,96,1.35211267605634
"P1001","2014-11",54,73,1.35185185185185
"P921","2014-04",54,73,1.35185185185185
"P793","2013-12",91,123,1.35164835164835
"P953","2015-10",91,123,1.35164835164835
"P3035","2016-08",401,542,1.35162094763092
"P58","2015-08",202,273,1.35148514851485
"P1031","2015-04",37,50,1.35135135135135
"P185","2016-05",37,50,1.35135135135135
"P477","2013-06",74,100,1.35135135135135
"P742","2016-09",134,181,1.35074626865672
"P108","2016-09",1611,2176,1.35071384233395
"P1435","2014-09",288,389,1.35069444444444
"P112","2014-01",77,104,1.35064935064935
"P1114","2015-08",20,27,1.35
"P38","2015-05",20,27,1.35
"P45","2013-04",40,54,1.35
"P477","2014-09",140,189,1.35
"P675","2016-09",40,54,1.35
"P512","2014-12",63,85,1.34920634920635
"P879","2015-08",212,286,1.34905660377358
"P108","2015-12",794,1071,1.34886649874055
"P101","2016-01",344,464,1.34883720930233
"P608","2014-08",43,58,1.34883720930233
"P800","2014-03",43,58,1.34883720930233
"P81","2016-09",172,232,1.34883720930233
"P1684","2016-01",327,441,1.34862385321101
"P7","2013-03",641,864,1.34789391575663
"P1365","2016-06",46,62,1.34782608695652
"P2578","2016-03",46,62,1.34782608695652
"P435","2015-10",23,31,1.34782608695652
"P451","2013-08",23,31,1.34782608695652
"P9","2014-10",124,167,1.34677419354839
"P1346","2015-06",75,101,1.34666666666667
"P460","2015-03",580,781,1.34655172413793
"P1998","2016-01",153,206,1.34640522875817
"P118","2015-02",26,35,1.34615384615385
"P169","2016-04",26,35,1.34615384615385
"P410","2015-04",52,70,1.34615384615385
"P590","2014-05",26,35,1.34615384615385
"P127","2015-06",159,214,1.34591194968553
"P1082","2015-07",1142,1537,1.34588441330998
"P1559","2015-02",55,74,1.34545454545455
"P140","2014-12",229,308,1.34497816593886
"P1321","2014-05",29,39,1.3448275862069
"P97","2016-05",261,351,1.3448275862069
"P348","2016-04",351,472,1.34472934472934
"P1066","2015-06",436,586,1.34403669724771
"P39","2014-05",26272,35310,1.34401644336175
"P404","2016-05",125,168,1.344
"P607","2015-10",221,297,1.34389140271493
"P121","2015-04",32,43,1.34375
"P2237","2016-06",32,43,1.34375
"P957","2015-11",32,43,1.34375
"P97","2016-01",259,348,1.34362934362934
"P1066","2015-05",434,583,1.34331797235023
"P1998","2016-02",67,90,1.34328358208955
"P58","2014-05",4307,5783,1.34269793359647
"P1038","2016-09",187,251,1.34224598930481
"P127","2015-01",225,302,1.34222222222222
"P1549","2016-04",114,153,1.34210526315789
"P277","2016-07",38,51,1.34210526315789
"P742","2015-03",41,55,1.34146341463415
"P793","2014-02",167,224,1.34131736526946
"P279","2015-08",79993,107282,1.34114234995562
"P611","2015-11",44,59,1.34090909090909
"P1412","2015-03",135,181,1.34074074074074
"P937","2015-03",24573,32926,1.33992593496928
"P1066","2014-04",53,71,1.33962264150943
"P466","2015-03",53,71,1.33962264150943
"P577","2014-02",707,947,1.33946251768034
"P39","2015-08",6203,8307,1.33919071417056
"P40","2015-02",2009,2690,1.33897461423594
"P176","2015-09",180,241,1.33888888888889
"P466","2014-02",62,83,1.33870967741935
"P512","2014-04",68,91,1.33823529411765
"P443","2015-08",71,95,1.33802816901408
"P166","2015-05",1310,1752,1.33740458015267
"P742","2015-02",83,111,1.33734939759036
"P1040","2015-09",86,115,1.33720930232558
"P279","2013-11",2275,3042,1.33714285714286
"P1192","2016-01",893,1194,1.33706606942889
"P488","2014-02",95,127,1.33684210526316
"P421","2015-11",199,266,1.33668341708543
"P742","2016-05",125,167,1.336
"P553","2016-04",152,203,1.33552631578947
"P179","2013-03",471,629,1.33545647558386
"P400","2014-08",853,1139,1.33528722157093
"P101","2016-04",197,263,1.33502538071066
"P1448","2016-03",203,271,1.33497536945813
"P1019","2015-12",3,4,1.33333333333333
"P1028","2014-11",6,8,1.33333333333333
"P1028","2015-12",3,4,1.33333333333333
"P1031","2014-10",3,4,1.33333333333333
"P1036","2015-07",15,20,1.33333333333333
"P1039","2014-02",3,4,1.33333333333333
"P1039","2015-12",3,4,1.33333333333333
"P1042","2014-03",3,4,1.33333333333333
"P1050","2014-04",3,4,1.33333333333333
"P1059","2014-07",3,4,1.33333333333333
"P1059","2015-04",3,4,1.33333333333333
"P1068","2014-07",9,12,1.33333333333333
"P1075","2016-07",3,4,1.33333333333333
"P1078","2014-01",3,4,1.33333333333333
"P1081","2014-07",3,4,1.33333333333333
"P1085","2014-07",3,4,1.33333333333333
"P1085","2014-10",3,4,1.33333333333333
"P1092","2014-01",3,4,1.33333333333333
"P1098","2014-07",6,8,1.33333333333333
"P1100","2015-12",3,4,1.33333333333333
"P1103","2014-11",3,4,1.33333333333333
"P1106","2016-05",3,4,1.33333333333333
"P111","2015-02",3,4,1.33333333333333
"P111","2015-03",3,4,1.33333333333333
"P1114","2015-06",3,4,1.33333333333333
"P1118","2015-07",3,4,1.33333333333333
"P1120","2014-12",12,16,1.33333333333333
"P113","2015-11",3,4,1.33333333333333
"P113","2016-08",3,4,1.33333333333333
"P1132","2015-03",27,36,1.33333333333333
"P1142","2015-10",33,44,1.33333333333333
"P1149","2015-03",3,4,1.33333333333333
"P1150","2014-08",3,4,1.33333333333333
"P1165","2015-04",3,4,1.33333333333333
"P1182","2015-08",3,4,1.33333333333333
"P1183","2014-05",3,4,1.33333333333333
"P1192","2014-03",3,4,1.33333333333333
"P1195","2015-06",3,4,1.33333333333333
"P1215","2015-10",3,4,1.33333333333333
"P1215","2016-01",3,4,1.33333333333333
"P1245","2015-02",3,4,1.33333333333333
"P1255","2014-04",3,4,1.33333333333333
"P1256","2016-07",3,4,1.33333333333333
"P1260","2015-04",12,16,1.33333333333333
"P1268","2015-09",9,12,1.33333333333333
"P1283","2016-02",12,16,1.33333333333333
"P1283","2016-05",3,4,1.33333333333333
"P1290","2014-12",3,4,1.33333333333333
"P1290","2015-09",3,4,1.33333333333333
"P1299","2014-07",6,8,1.33333333333333
"P1299","2015-11",3,4,1.33333333333333
"P1299","2016-06",18,24,1.33333333333333
"P1308","2015-05",3,4,1.33333333333333
"P1314","2016-06",3,4,1.33333333333333
"P1321","2014-06",6,8,1.33333333333333
"P1325","2015-09",3,4,1.33333333333333
"P1336","2015-10",3,4,1.33333333333333
"P134","2014-08",6,8,1.33333333333333
"P1342","2015-04",3,4,1.33333333333333
"P1343","2014-09",117,156,1.33333333333333
"P1365","2015-01",9,12,1.33333333333333
"P1399","2015-01",3,4,1.33333333333333
"P1408","2015-07",3,4,1.33333333333333
"P1410","2014-07",3,4,1.33333333333333
"P1413","2015-10",3,4,1.33333333333333
"P1414","2014-11",6,8,1.33333333333333
"P1414","2015-04",3,4,1.33333333333333
"P1414","2015-07",3,4,1.33333333333333
"P1414","2016-09",3,4,1.33333333333333
"P1416","2015-02",3,4,1.33333333333333
"P1417","2015-10",3,4,1.33333333333333
"P1420","2016-10",3,4,1.33333333333333
"P1429","2014-11",3,4,1.33333333333333
"P1429","2016-04",3,4,1.33333333333333
"P1431","2014-12",9,12,1.33333333333333
"P1436","2014-09",6,8,1.33333333333333
"P1441","2016-10",3,4,1.33333333333333
"P1445","2015-01",3,4,1.33333333333333
"P1445","2015-05",3,4,1.33333333333333
"P1451","2015-06",9,12,1.33333333333333
"P1451","2015-10",18,24,1.33333333333333
"P1455","2015-07",3,4,1.33333333333333
"P1455","2016-02",3,4,1.33333333333333
"P1462","2016-06",3,4,1.33333333333333
"P1478","2014-11",3,4,1.33333333333333
"P1478","2015-10",3,4,1.33333333333333
"P1478","2015-11",6,8,1.33333333333333
"P1478","2016-02",3,4,1.33333333333333
"P1479","2015-05",3,4,1.33333333333333
"P1482","2014-09",9,12,1.33333333333333
"P1483","2016-09",3,4,1.33333333333333
"P15","2016-04",6,8,1.33333333333333
"P1535","2014-11",6,8,1.33333333333333
"P1535","2015-09",6,8,1.33333333333333
"P1535","2015-12",3,4,1.33333333333333
"P1535","2016-02",12,16,1.33333333333333
"P1535","2016-10",3,4,1.33333333333333
"P1547","2015-12",3,4,1.33333333333333
"P1552","2015-04",6,8,1.33333333333333
"P1556","2016-04",3,4,1.33333333333333
"P1560","2016-08",9,12,1.33333333333333
"P1574","2015-06",3,4,1.33333333333333
"P158","2013-02",3,4,1.33333333333333
"P1582","2014-11",6,8,1.33333333333333
"P1582","2015-01",18,24,1.33333333333333
"P1582","2015-02",15,20,1.33333333333333
"P1582","2016-02",6,8,1.33333333333333
"P1595","2016-03",3,4,1.33333333333333
"P1596","2016-06",3,4,1.33333333333333
"P1613","2015-06",3,4,1.33333333333333
"P1613","2015-11",6,8,1.33333333333333
"P1614","2015-12",9,12,1.33333333333333
"P162","2016-10",3,4,1.33333333333333
"P1621","2014-11",3,4,1.33333333333333
"P1622","2016-07",3,4,1.33333333333333
"P1640","2016-02",3,4,1.33333333333333
"P1641","2016-05",3,4,1.33333333333333
"P1641","2016-07",3,4,1.33333333333333
"P1646","2014-12",21,28,1.33333333333333
"P1646","2015-01",6,8,1.33333333333333
"P167","2013-03",6,8,1.33333333333333
"P167","2015-12",3,4,1.33333333333333
"P167","2016-02",6,8,1.33333333333333
"P1670","2016-10",3,4,1.33333333333333
"P1684","2015-10",6,8,1.33333333333333
"P1692","2016-02",3,4,1.33333333333333
"P1696","2015-09",3,4,1.33333333333333
"P1714","2015-08",3,4,1.33333333333333
"P1773","2016-02",3,4,1.33333333333333
"P1775","2016-07",3,4,1.33333333333333
"P183","2016-01",6,8,1.33333333333333
"P1831","2016-08",9,12,1.33333333333333
"P184","2015-08",6,8,1.33333333333333
"P185","2014-05",3,4,1.33333333333333
"P185","2014-08",6,8,1.33333333333333
"P186","2014-03",288,384,1.33333333333333
"P1863","2015-10",3,4,1.33333333333333
"P189","2013-11",3,4,1.33333333333333
"P1903","2015-05",3,4,1.33333333333333
"P193","2016-03",3,4,1.33333333333333
"P1951","2016-01",3,4,1.33333333333333
"P1957","2015-09",9,12,1.33333333333333
"P1957","2015-10",3,4,1.33333333333333
"P196","2013-03",3,4,1.33333333333333
"P1963","2016-01",3,4,1.33333333333333
"P1973","2015-09",3,4,1.33333333333333
"P1988","2015-07",3,4,1.33333333333333
"P199","2014-08",3,4,1.33333333333333
"P199","2014-09",3,4,1.33333333333333
"P1994","2015-12",3,4,1.33333333333333
"P1997","2015-08",3,4,1.33333333333333
"P200","2013-11",3,4,1.33333333333333
"P200","2015-07",3,4,1.33333333333333
"P2012","2016-03",3,4,1.33333333333333
"P202","2013-03",18,24,1.33333333333333
"P2028","2015-08",3,4,1.33333333333333
"P2073","2015-09",12,16,1.33333333333333
"P2076","2015-10",3,4,1.33333333333333
"P2078","2016-07",12,16,1.33333333333333
"P209","2013-05",6,8,1.33333333333333
"P2103","2015-09",3,4,1.33333333333333
"P2103","2016-01",3,4,1.33333333333333
"P2109","2015-09",6,8,1.33333333333333
"P2120","2016-05",3,4,1.33333333333333
"P2124","2016-03",3,4,1.33333333333333
"P2144","2016-02",3,4,1.33333333333333
"P2175","2016-03",3,4,1.33333333333333
"P223","2014-05",3,4,1.33333333333333
"P223","2014-06",6,8,1.33333333333333
"P2237","2016-01",12,16,1.33333333333333
"P2237","2016-07",6,8,1.33333333333333
"P2250","2015-10",3,4,1.33333333333333
"P2254","2015-10",3,4,1.33333333333333
"P2257","2016-03",3,4,1.33333333333333
"P2264","2016-01",6,8,1.33333333333333
"P2271","2016-02",3,4,1.33333333333333
"P2281","2016-04",6,8,1.33333333333333
"P2284","2016-02",9,12,1.33333333333333
"P2284","2016-04",9,12,1.33333333333333
"P229","2014-06",3,4,1.33333333333333
"P233","2014-12",3,4,1.33333333333333
"P2355","2015-12",3,4,1.33333333333333
"P2357","2016-04",3,4,1.33333333333333
"P2373","2016-06",3,4,1.33333333333333
"P239","2013-12",3,4,1.33333333333333
"P2436","2016-07",9,12,1.33333333333333
"P2441","2016-06",3,4,1.33333333333333
"P2442","2016-03",15,20,1.33333333333333
"P2456","2016-08",3,4,1.33333333333333
"P2469","2016-06",3,4,1.33333333333333
"P2469","2016-08",3,4,1.33333333333333
"P248","2015-06",3,4,1.33333333333333
"P249","2013-03",54,72,1.33333333333333
"P2505","2016-04",3,4,1.33333333333333
"P2534","2016-08",3,4,1.33333333333333
"P2561","2016-08",6,8,1.33333333333333
"P2562","2016-06",3,4,1.33333333333333
"P2572","2016-10",3,4,1.33333333333333
"P2575","2016-03",3,4,1.33333333333333
"P2635","2016-06",3,4,1.33333333333333
"P2652","2016-04",3,4,1.33333333333333
"P2670","2016-03",3,4,1.33333333333333
"P2670","2016-05",9,12,1.33333333333333
"P2673","2016-04",3,4,1.33333333333333
"P272","2013-12",27,36,1.33333333333333
"P2738","2016-05",6,8,1.33333333333333
"P2738","2016-06",3,4,1.33333333333333
"P2776","2016-06",3,4,1.33333333333333
"P2812","2016-09",3,4,1.33333333333333
"P2878","2016-07",6,8,1.33333333333333
"P2935","2016-07",3,4,1.33333333333333
"P2936","2016-09",3,4,1.33333333333333
"P2967","2016-07",3,4,1.33333333333333
"P2998","2016-07",3,4,1.33333333333333
"P3022","2016-09",3,4,1.33333333333333
"P35","2013-04",15,20,1.33333333333333
"P35","2016-04",9,12,1.33333333333333
"P35","2016-05",12,16,1.33333333333333
"P352","2013-06",3,4,1.33333333333333
"P357","2016-06",3,4,1.33333333333333
"P358","2016-09",3,4,1.33333333333333
"P359","2014-02",3,4,1.33333333333333
"P368","2016-07",3,4,1.33333333333333
"P37","2015-09",48,64,1.33333333333333
"P370","2013-10",9,12,1.33333333333333
"P38","2016-04",9,12,1.33333333333333
"P38","2016-07",3,4,1.33333333333333
"P387","2015-01",3,4,1.33333333333333
"P398","2013-10",21,28,1.33333333333333
"P398","2015-06",3,4,1.33333333333333
"P404","2013-05",9,12,1.33333333333333
"P404","2013-09",3,4,1.33333333333333
"P405","2015-09",3,4,1.33333333333333
"P406","2013-08",3,4,1.33333333333333
"P41","2014-01",93,124,1.33333333333333
"P414","2015-12",9,12,1.33333333333333
"P416","2014-04",3,4,1.33333333333333
"P416","2014-07",3,4,1.33333333333333
"P424","2013-10",3,4,1.33333333333333
"P43","2014-09",3,4,1.33333333333333
"P437","2014-01",18,24,1.33333333333333
"P437","2014-12",45,60,1.33333333333333
"P438","2013-07",3,4,1.33333333333333
"P45","2014-12",3,4,1.33333333333333
"P454","2015-05",3,4,1.33333333333333
"P463","2015-08",492,656,1.33333333333333
"P465","2014-05",9,12,1.33333333333333
"P477","2014-01",21,28,1.33333333333333
"P479","2015-12",3,4,1.33333333333333
"P481","2013-06",3,4,1.33333333333333
"P481","2015-05",6,8,1.33333333333333
"P484","2014-02",3,4,1.33333333333333
"P486","2015-05",3,4,1.33333333333333
"P488","2016-02",42,56,1.33333333333333
"P493","2014-06",3,4,1.33333333333333
"P493","2014-08",6,8,1.33333333333333
"P494","2013-10",3,4,1.33333333333333
"P500","2013-10",3,4,1.33333333333333
"P504","2013-10",3,4,1.33333333333333
"P504","2014-01",3,4,1.33333333333333
"P505","2016-07",6,8,1.33333333333333
"P506","2015-09",3,4,1.33333333333333
"P508","2014-02",27,36,1.33333333333333
"P514","2013-05",18,24,1.33333333333333
"P520","2014-07",6,8,1.33333333333333
"P520","2015-12",3,4,1.33333333333333
"P520","2016-05",3,4,1.33333333333333
"P529","2014-02",9,12,1.33333333333333
"P529","2015-01",9,12,1.33333333333333
"P533","2015-06",3,4,1.33333333333333
"P552","2014-05",3,4,1.33333333333333
"P553","2013-06",6,8,1.33333333333333
"P554","2014-11",3,4,1.33333333333333
"P556","2013-07",3,4,1.33333333333333
"P557","2014-07",3,4,1.33333333333333
"P558","2015-02",9,12,1.33333333333333
"P558","2016-06",3,4,1.33333333333333
"P579","2015-12",3,4,1.33333333333333
"P589","2013-07",3,4,1.33333333333333
"P6","2016-10",3,4,1.33333333333333
"P604","2015-09",3,4,1.33333333333333
"P605","2015-08",3,4,1.33333333333333
"P607","2013-09",12,16,1.33333333333333
"P608","2013-07",3,4,1.33333333333333
"P618","2016-01",6,8,1.33333333333333
"P624","2016-04",3,4,1.33333333333333
"P631","2013-08",3,4,1.33333333333333
"P631","2016-07",3,4,1.33333333333333
"P636","2015-05",3,4,1.33333333333333
"P658","2015-12",3,4,1.33333333333333
"P66","2014-08",3,4,1.33333333333333
"P664","2013-07",15,20,1.33333333333333
"P673","2013-11",3,4,1.33333333333333
"P675","2015-06",9,12,1.33333333333333
"P687","2015-12",3,4,1.33333333333333
"P688","2015-08",3,4,1.33333333333333
"P689","2014-01",3,4,1.33333333333333
"P689","2016-02",6,8,1.33333333333333
"P693","2015-02",3,4,1.33333333333333
"P7","2013-07",150,200,1.33333333333333
"P702","2015-08",3,4,1.33333333333333
"P722","2014-11",3,4,1.33333333333333
"P741","2016-07",3,4,1.33333333333333
"P750","2015-06",9,12,1.33333333333333
"P768","2016-06",3,4,1.33333333333333
"P770","2013-08",3,4,1.33333333333333
"P770","2014-12",3,4,1.33333333333333
"P770","2015-10",9,12,1.33333333333333
"P78","2016-04",3,4,1.33333333333333
"P803","2015-01",3,4,1.33333333333333
"P807","2013-11",6,8,1.33333333333333
"P821","2015-09",6,8,1.33333333333333
"P822","2014-10",3,4,1.33333333333333
"P825","2014-11",6,8,1.33333333333333
"P828","2013-12",3,4,1.33333333333333
"P832","2015-05",3,4,1.33333333333333
"P832","2016-04",3,4,1.33333333333333
"P833","2013-11",6,8,1.33333333333333
"P839","2014-10",3,4,1.33333333333333
"P841","2015-02",3,4,1.33333333333333
"P845","2014-11",3,4,1.33333333333333
"P854","2016-01",33,44,1.33333333333333
"P87","2014-03",3,4,1.33333333333333
"P87","2014-05",12,16,1.33333333333333
"P87","2016-04",9,12,1.33333333333333
"P870","2016-07",3,4,1.33333333333333
"P9","2014-11",138,184,1.33333333333333
"P9","2016-10",6,8,1.33333333333333
"P901","2015-03",3,4,1.33333333333333
"P902","2014-03",3,4,1.33333333333333
"P914","2015-07",3,4,1.33333333333333
"P915","2013-09",9,12,1.33333333333333
"P92","2013-12",3,4,1.33333333333333
"P92","2015-09",3,4,1.33333333333333
"P92","2016-06",6,8,1.33333333333333
"P927","2015-10",3,4,1.33333333333333
"P930","2015-11",9,12,1.33333333333333
"P931","2015-12",6,8,1.33333333333333
"P933","2014-09",3,4,1.33333333333333
"P937","2015-02",3,4,1.33333333333333
"P937","2016-10",3,4,1.33333333333333
"P942","2016-04",9,12,1.33333333333333
"P945","2014-10",3,4,1.33333333333333
"P945","2016-01",6,8,1.33333333333333
"P945","2016-02",3,4,1.33333333333333
"P946","2016-02",3,4,1.33333333333333
"P972","2014-08",3,4,1.33333333333333
"P973","2013-11",6,8,1.33333333333333
"P974","2015-02",3,4,1.33333333333333
"P974","2015-10",6,8,1.33333333333333
"P974","2016-04",6,8,1.33333333333333
"P98","2014-08",27,36,1.33333333333333
"P101","2016-06",268,357,1.33208955223881
"P688","2015-11",11350,15119,1.3320704845815
"P1346","2015-02",256,341,1.33203125
"P69","2013-12",814,1084,1.33169533169533
"P937","2015-06",679,904,1.33136966126657
"P404","2014-02",160,213,1.33125
"P162","2015-06",145,193,1.33103448275862
"P108","2013-10",139,185,1.33093525179856
"P1813","2016-09",139,185,1.33093525179856
"P40","2013-12",1088,1448,1.33088235294118
"P1344","2016-01",1221,1625,1.33087633087633
"P101","2015-04",112,149,1.33035714285714
"P452","2015-08",694,923,1.3299711815562
"P742","2016-04",97,129,1.32989690721649
"P348","2014-09",94,125,1.32978723404255
"P1476","2014-09",185,246,1.32972972972973
"P1659","2016-04",76,101,1.32894736842105
"P366","2014-05",61,81,1.32786885245902
"P676","2014-06",61,81,1.32786885245902
"P58","2014-09",223,296,1.32735426008969
"P101","2016-02",330,438,1.32727272727273
"P404","2014-06",55,73,1.32727272727273
"P676","2015-12",55,73,1.32727272727273
"P348","2016-06",269,357,1.3271375464684
"P2348","2016-08",2507,3327,1.32708416433985
"P1813","2016-04",52,69,1.32692307692308
"P236","2015-10",52,69,1.32692307692308
"P436","2016-02",52,69,1.32692307692308
"P1449","2015-06",49,65,1.3265306122449
"P287","2015-07",98,130,1.3265306122449
"P734","2014-06",328,435,1.32621951219512
"P915","2016-06",46,61,1.32608695652174
"P1614","2015-07",574,761,1.32578397212544
"P1128","2016-01",43,57,1.32558139534884
"P1303","2015-07",43,57,1.32558139534884
"P108","2015-08",1877,2488,1.32551944592435
"P1038","2015-10",166,220,1.32530120481928
"P930","2016-08",77,102,1.32467532467532
"P921","2016-05",5597,7413,1.32445953189209
"P186","2014-09",704,932,1.32386363636364
"P1040","2014-12",34,45,1.32352941176471
"P529","2016-05",34,45,1.32352941176471
"P551","2013-06",34,45,1.32352941176471
"P166","2013-03",1460,1932,1.32328767123288
"P112","2013-10",99,131,1.32323232323232
"P162","2013-05",21912,28994,1.3232018985031
"P166","2014-10",17966,23771,1.32311031949237
"P61","2013-05",5069,6706,1.32294338133754
"P1441","2016-09",1013,1340,1.32280355380059
"P1027","2014-06",31,41,1.32258064516129
"P287","2014-10",31,41,1.32258064516129
"P451","2015-06",31,41,1.32258064516129
"P1082","2015-10",4179,5527,1.32256520698732
"P463","2015-03",450,595,1.32222222222222
"P854","2016-05",59,78,1.32203389830508
"P937","2015-09",118,156,1.32203389830508
"P512","2016-05",87,115,1.32183908045977
"P1038","2015-11",112,148,1.32142857142857
"P112","2013-08",84,111,1.32142857142857
"P1365","2014-07",28,37,1.32142857142857
"P81","2014-06",190,251,1.32105263157895
"P463","2013-12",986,1302,1.32048681541582
"P947","2015-06",203,268,1.32019704433498
"P118","2013-11",25,33,1.32
"P1449","2016-05",100,132,1.32
"P169","2016-02",25,33,1.32
"P35","2013-08",25,33,1.32
"P879","2016-09",25,33,1.32
"P998","2016-04",100,132,1.32
"P2635","2016-09",97,128,1.31958762886598
"P452","2015-04",119,157,1.31932773109244
"P101","2014-09",94,124,1.31914893617021
"P551","2013-08",94,124,1.31914893617021
"P607","2015-08",94,124,1.31914893617021
"P243","2016-09",138,182,1.31884057971015
"P404","2016-03",69,91,1.31884057971015
"P281","2014-04",3149,4153,1.3188313750397
"P366","2014-07",182,240,1.31868131868132
"P493","2013-08",3540,4668,1.31864406779661
"P39","2014-04",3444,4541,1.318524970964
"P460","2014-02",1715,2261,1.31836734693878
"P1630","2015-11",22,29,1.31818181818182
"P277","2013-12",22,29,1.31818181818182
"P451","2013-09",22,29,1.31818181818182
"P54","2015-04",1545,2036,1.31779935275081
"P112","2014-02",107,141,1.31775700934579
"P452","2016-05",211,278,1.3175355450237
"P212","2016-04",63,83,1.31746031746032
"P160","2013-06",249,328,1.31726907630522
